FROM,TO,COUNT
Anonyme,Danceny,1
Anselme,Valmont,1
Azolan,Valmont,1
Bertrand,Rosemonde,2
Cecile,Danceny,8
Cecile,Merteuil,4
Cecile,Sophie,11
Cecile,Valmont,2
Danceny,Cecile,9
Danceny,Merteuil,3
Danceny,Rosemonde,2
Danceny,Valmont,4
Danceny,Volanges,1
Gercourt,Volanges,1
Maréchale,Merteuil,1
Merteuil,Cecile,2
Merteuil,Danceny,2
Merteuil,Valmont,21
Merteuil,Volanges,2
Rosemonde,Bertrand,1
Rosemonde,Danceny,1
Rosemonde,Tourvel,6
Rosemonde,Volanges,1
Tourvel,Rosemonde,9
Tourvel,TBV,1
Tourvel,Valmont,9
Tourvel,Volanges,5
Valmont,Anselme,1
Valmont,Azolan,1
Valmont,Cecile,2
Valmont,Danceny,2
Valmont,Merteuil,34
Valmont,Tourvel,12
Volanges,Danceny,1
Volanges,Merteuil,1
Volanges,Rosemonde,9
Volanges,Tourvel,2
